id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2533592745,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-04-15T13:25:01.060Z,2023-04-15T14:39:33Z,4190092983,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, cgtz4fa0mz9poi4ju8bjtbwiy, dvxwdpad8a1iatnwcpqvy3m5l, 33j75k7nnzjit08r24zk00yy1, 10va1tucy0kb83wllaudp7e95, 7rfeo8qrjotskdx5e6bwk53h1, 293inynsy3ai0aawkdzpl7cnp, 82fjdh9q4378gd1g9l1bimrx1, a6r7abntbrgsp8s69b0a8ngt1, f29gq7ixyjd9m22yhmb7c7oq1, r34leywn2c5158ldxrcde5l, db6kkpr65v0zlrlx1cr5almcq, 3hzw7c4kkol5okl9imvc70ij9, 2kvb94ocyvs7x1sbq73rr22nd, 52407m29h74ziyt19jty0od7t, b7ri94n62dr73s1hb10br7lrd, 3q1nhus52rnkt6nwvqmpb1ct0, 7apd6saozsmkhkm7ew06a5a6t, awicgdcslcljo1mbmvochqlwq",4190581101,197,3749,4190092993,194,6gmfcfqd1o54zyepd9587nlqt,4190092995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190092989,130,8,4190092985,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4190092991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190092987,59,"32, 18, 22, 38, 23, 44, 15, 8, 93, 7, 14, 1, 3, 4, 19, 24, 25, 27, 35, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533593397,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-04-15T13:25:39.067Z,2023-04-15T14:50:20Z,4190096663,130,7,4190096659,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4190096657,30,"1ocxh5s9uo0s8ag79j7iv6acp, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, ctkp6xkdg68xonlfkjwe580oa, 2jskw42u7twkcsxa15hcysiy1, dzq4gg917idfq1rhng1coi5uc, 74hu9pcq0b1z36871v3inexyi, f57x0lswad64sg1mpry8xiadw, 1jvpqpf5rak11gh8gilldpgtm, dyeuxixz75ematbmtiwzcvhzp, a5djhs58ls97llpu6i80dak15, atkoaobhylui34grbharm41xx, dqpofsnyszazhkp0t7gtlfi3u, 31i957f27zym4aj6xdjxu7nit, e4x6fx7njwfevkwf1t0ocyq51, cdkxx5845lj8spbg3ha7m1xm2, 9ylq7ia76wd7pxq3ax9qo8w5x, c9juqy1fmkna7jcozyeg0weeh, 4mvqt04u92wsm1p5ja8fpilii, 5bl0qe7l7juksox3s4u76hxat",4190096669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190096665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190591291,197,11679,4190096661,59,"99, 62, 31, 25, 23, 3, 21, 33, 9, 20, 28, 5, 7, 11, 13, 22, 34, 50, 78, 95",4190096667,194,3o3pp38h4ww0btuxzna0mhtcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533693539,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-04-15T14:31:48.706Z,2023-04-15T14:31:50Z,4190613909,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533693487,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-04-15T14:31:48.706Z,2023-04-15T14:31:48Z,4190613681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533693553,3,1,1,0,0,co1i764h6b02husae71w6scs8,1,49.9,49.9,2023-04-15T14:31:48.806Z,2023-04-15T15:31:03Z,4190614003,212,13.4,4190614005,213,3.8,4190613997,56,Back,4190614007,279,S,4190613999,140,40.0,4190614001,141,37.4,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533693605,4,1,1,0,2,co1i764h6b02husae71w6scs8,1,38.9,36.7,2023-04-15T14:31:50.781Z,2023-04-15T14:31:52Z,4190614313,212,17.4,4190614307,56,Back,4190614309,140,23.8,4190614311,141,26.2,4190614315,213,3.6,,,,,,,,,,293inynsy3ai0aawkdzpl7cnp,Maurício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533693663,5,1,1,0,3,co1i764h6b02husae71w6scs8,1,23.4,25.4,2023-04-15T14:31:52.589Z,2023-04-15T14:31:54Z,4190614627,140,29.7,4190614625,56,Back,4190614631,212,14.5,4190614629,141,6.4,4190614633,213,5.2,,,,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533693721,6,1,1,0,5,co1i764h6b02husae71w6scs8,1,30.5,5.8,2023-04-15T14:31:54.381Z,2023-04-15T14:31:56Z,4190614925,212,14.4,4190614919,56,Back,4190614927,213,2.2,4190614921,140,22.2,4190614923,141,22.7,,,,,,,,,,6gmfcfqd1o54zyepd9587nlqt,F. Moufi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533693861,7,1,1,0,7,co1i764h6b02husae71w6scs8,1,22.1,24.5,2023-04-15T14:31:56.381Z,2023-04-15T14:31:59Z,4190615633,141,44.9,4190615623,56,Back,4190615641,213,2.3,4190615639,212,19.4,4190615629,140,9.2,,,,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694067,8,1,1,0,11,co1i764h6b02husae71w6scs8,1,9.6,47.2,2023-04-15T14:31:59.709Z,2023-04-15T14:32:06Z,4190616787,140,13.9,4190616789,141,70.5,4190616795,213,1.3,4190616785,56,Back,4190616793,212,16.5,,,,,,,,,,cpf5wp34pu80qzvcwakjhh905,K. Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694081,9,1,1,0,18,co1i764h6b02husae71w6scs8,0,8.2,93.5,2023-04-15T14:32:06.798Z,2023-04-15T14:32:08Z,4190616871,157,,4190616875,140,9.1,4190617003,233,3,4190616881,213,0.6,4190617001,236,,4190616883,1,,4190616873,56,Back,4190616877,141,94.4,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,4190616879,212,1.1,4190617007,286,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694073,3,74,1,0,18,22mo7qbsnyi8wtucpvhgvhw2q,1,88.2,7,2023-04-15T14:32:06.799Z,2023-04-15T15:23:02Z,4190617059,233,9,4190616823,285,,4190616821,56,Right,,,,,,,,,,,,,,,,f57x0lswad64sg1mpry8xiadw,João Marques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694111,4,5,1,0,19,22mo7qbsnyi8wtucpvhgvhw2q,0,91.2,-1,2023-04-15T14:32:07.948Z,2023-04-15T14:32:11Z,4190617067,56,Right,4190617073,347,,4190617443,233,10,,,,,,,,,,,,,,,,1jvpqpf5rak11gh8gilldpgtm,Alejandro Marqués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694145,10,5,1,0,19,co1i764h6b02husae71w6scs8,1,8.8,101,2023-04-15T14:32:07.948Z,2023-04-15T14:34:00Z,4190617393,233,4,4190617307,56,Back,4190617309,347,,,,,,,,,,,,,,,,,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694483,11,1,1,0,27,co1i764h6b02husae71w6scs8,0,9.5,100,2023-04-15T14:32:16.272Z,2023-04-15T14:32:19Z,4190619213,140,39.4,4190619229,1,,4190619225,213,6.1,4190619221,212,31.7,4190619217,141,94.2,4190619207,107,,4190619211,56,Back,,,,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694521,5,49,1,0,31,22mo7qbsnyi8wtucpvhgvhw2q,1,57,11,2023-04-15T14:32:20.358Z,2023-04-15T14:32:20Z,,,,,,,,,,,,,,,,,,,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694657,6,1,1,0,32,22mo7qbsnyi8wtucpvhgvhw2q,1,57,11,2023-04-15T14:32:21.213Z,2023-04-15T14:32:23Z,4190620161,213,2.9,4190620143,155,,4190620151,140,41.0,4190620147,56,Back,4190620157,212,17.4,4190620155,141,17.6,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694697,7,1,1,0,34,22mo7qbsnyi8wtucpvhgvhw2q,1,40.8,17.7,2023-04-15T14:32:23.605Z,2023-04-15T14:34:38Z,4190620383,141,12.3,4190620385,212,6.5,4190620377,3,,4190620381,140,45.9,4190620379,56,Back,4190620387,213,5.7,,,,,,,2jskw42u7twkcsxa15hcysiy1,Pedro Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694763,8,1,1,0,36,22mo7qbsnyi8wtucpvhgvhw2q,0,45.9,12,2023-04-15T14:32:24.918Z,2023-04-15T14:32:27Z,4190620725,56,Right,4190620731,141,19.1,4190620737,213,0.4,4190620727,140,57.1,4190620721,3,,4190620735,212,12.7,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694741,12,49,1,0,37,co1i764h6b02husae71w6scs8,1,42.7,86.3,2023-04-15T14:32:26.125Z,2023-04-15T14:32:26Z,,,,,,,,,,,,,,,,,,,,,,,,,293inynsy3ai0aawkdzpl7cnp,Maurício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694823,13,61,1,0,40,co1i764h6b02husae71w6scs8,0,44.6,84.6,2023-04-15T14:32:28.862Z,2023-04-15T14:32:29Z,4190621035,56,Back,,,,,,,,,,,,,,,,,,,,,,293inynsy3ai0aawkdzpl7cnp,Maurício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694845,9,49,1,0,40,22mo7qbsnyi8wtucpvhgvhw2q,1,56.3,14.1,2023-04-15T14:32:29.414Z,2023-04-15T14:32:29Z,,,,,,,,,,,,,,,,,,,,,,,,,74hu9pcq0b1z36871v3inexyi,Tiago Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694963,10,1,1,0,40,22mo7qbsnyi8wtucpvhgvhw2q,1,56.3,14.1,2023-04-15T14:32:29.528Z,2023-04-15T14:32:32Z,4190621853,212,14.7,4190621849,140,47.4,4190621855,213,2.3,4190621847,56,Back,4190621851,141,30.7,,,,,,,,,,74hu9pcq0b1z36871v3inexyi,Tiago Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695063,11,1,1,0,43,22mo7qbsnyi8wtucpvhgvhw2q,1,46.2,39.1,2023-04-15T14:32:32.703Z,2023-04-15T14:32:35Z,4190622503,140,45.6,4190622509,213,1.6,4190622505,141,73.6,4190622501,56,Back,4190622507,212,23.5,,,,,,,,,,ctkp6xkdg68xonlfkjwe580oa,M. Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695173,12,1,1,0,47,22mo7qbsnyi8wtucpvhgvhw2q,1,45.6,73.6,2023-04-15T14:32:35.799Z,2023-04-15T14:32:39Z,4190623083,56,Back,4190623087,141,71.5,4190623091,213,3.2,4190623085,140,32.1,4190623089,212,14.2,,,,,,,,,,3o3pp38h4ww0btuxzna0mhtcl,Joãozinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695225,13,1,1,0,51,22mo7qbsnyi8wtucpvhgvhw2q,1,30.1,70.5,2023-04-15T14:32:39.830Z,2023-04-15T14:32:41Z,4190623453,213,4.5,4190623445,56,Back,4190623449,141,45.4,4190623451,212,17.4,4190623447,140,27.0,,,,,,,,,,dzq4gg917idfq1rhng1coi5uc,Bernardo Vital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695283,14,1,1,0,52,22mo7qbsnyi8wtucpvhgvhw2q,1,24.8,45.4,2023-04-15T14:32:41.553Z,2023-04-15T14:32:44Z,4190623723,212,16.4,4190623715,56,Back,4190623719,141,56.7,4190623717,140,11.0,4190623727,213,2.7,,,,,,,,,,2jskw42u7twkcsxa15hcysiy1,Pedro Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695371,15,1,1,0,55,22mo7qbsnyi8wtucpvhgvhw2q,0,11.5,56.7,2023-04-15T14:32:43.946Z,2023-04-15T14:32:49Z,4190624233,213,0.2,4190624223,140,54.1,4190624227,141,69.1,4190624217,155,,4190624219,56,Center,4190624237,1,,4190624229,212,45.5,,,,1ocxh5s9uo0s8ag79j7iv6acp,Daniel Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695471,14,1,1,0,58,co1i764h6b02husae71w6scs8,1,40.9,32,2023-04-15T14:32:47.389Z,2023-04-15T14:32:50Z,4190624783,213,5.9,4190624773,3,,4190624777,140,58.7,4190624779,141,19.6,4190624781,212,20.5,4190624775,56,Right,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695599,15,1,1,1,1,co1i764h6b02husae71w6scs8,1,58.7,19.1,2023-04-15T14:32:50.158Z,2023-04-15T14:32:54Z,4190625523,3,,4190625533,141,6.1,4190625537,213,5.5,4190625531,140,66.7,4190625535,212,12.2,4190625527,56,Right,,,,,,,6gmfcfqd1o54zyepd9587nlqt,F. Moufi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695611,16,49,1,1,5,co1i764h6b02husae71w6scs8,1,69.7,4.7,2023-04-15T14:32:53.950Z,2023-04-15T14:32:54Z,,,,,,,,,,,,,,,,,,,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695671,17,1,1,1,5,co1i764h6b02husae71w6scs8,1,69.7,4.7,2023-04-15T14:32:54.542Z,2023-04-15T14:32:56Z,4190625933,212,19.7,4190625927,56,Right,4190625935,213,0.1,4190625931,141,6.5,4190625929,140,88.4,,,,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695721,18,1,1,1,7,co1i764h6b02husae71w6scs8,0,94.3,5.6,2023-04-15T14:32:56.143Z,2023-04-15T15:31:39Z,4190626259,212,24.9,4190626255,140,93.0,4190626249,2,,4190626251,155,,4190626257,141,42.1,4190626253,56,Center,4190626261,213,1.6,,,,7rfeo8qrjotskdx5e6bwk53h1,Y. González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533787907,367,8,1,1,9,22mo7qbsnyi8wtucpvhgvhw2q,1,7.2,56.6,2023-04-15T14:32:57.706Z,2023-04-15T15:25:25Z,4191105651,56,Back,,,,,,,,,,,,,,,,,,,,,,2jskw42u7twkcsxa15hcysiy1,Pedro Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533800535,385,61,1,1,9,co1i764h6b02husae71w6scs8,1,95.1,46.6,2023-04-15T14:32:57.906Z,2023-04-15T15:32:23Z,4191174485,56,Center,,,,,,,,,,,,,,,,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695883,16,12,1,1,10,22mo7qbsnyi8wtucpvhgvhw2q,1,8,49.9,2023-04-15T14:32:59.430Z,2023-04-15T14:33:03Z,4190627205,213,5.6,4190627183,56,Back,4190627189,140,24.7,4190627195,141,30.9,4190627199,212,21.8,,,,,,,,,,ctkp6xkdg68xonlfkjwe580oa,M. Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695879,19,1,1,1,13,co1i764h6b02husae71w6scs8,0,68,69.5,2023-04-15T14:33:02.349Z,2023-04-15T14:33:03Z,4190627373,286,,4190627155,56,Center,4190627163,141,69.3,4190627159,140,69.4,4190627165,212,1.5,4190627167,213,6.2,4190627365,236,,4190627369,233,17,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695893,17,74,1,1,13,22mo7qbsnyi8wtucpvhgvhw2q,1,24.4,31.2,2023-04-15T14:33:02.350Z,2023-04-15T14:34:30Z,4190627399,233,19,4190627243,285,,4190627239,56,Back,,,,,,,,,,,,,,,,74hu9pcq0b1z36871v3inexyi,Tiago Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533696109,20,1,1,1,15,co1i764h6b02husae71w6scs8,0,60.7,73.1,2023-04-15T14:33:04.573Z,2023-04-15T14:33:09Z,4190628369,56,Center,4190628373,141,33.4,4190628367,157,,4190628375,212,47.7,4190628379,1,,4190628377,213,5.7,4190628371,140,98.2,,,,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533696117,18,52,1,1,20,22mo7qbsnyi8wtucpvhgvhw2q,1,2.8,67.2,2023-04-15T14:33:09.463Z,2023-04-15T14:33:09Z,,,,,,,,,,,,,,,,,,,,,,,,,1ocxh5s9uo0s8ag79j7iv6acp,Daniel Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533696873,19,1,1,1,38,22mo7qbsnyi8wtucpvhgvhw2q,1,11.8,54,2023-04-15T14:33:27.350Z,2023-04-15T14:33:30Z,4190632295,123,,4190632297,56,Back,4190632309,213,5.0,4190632305,141,28.6,4190632301,140,16.9,4190632307,212,18.1,4190632385,189,,,,,1ocxh5s9uo0s8ag79j7iv6acp,Daniel Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533697153,20,1,1,1,44,22mo7qbsnyi8wtucpvhgvhw2q,1,30.5,23.7,2023-04-15T14:33:33.469Z,2023-04-15T14:33:36Z,4190633693,140,31.4,4190633695,141,9.1,4190633699,213,4.8,4190633697,212,10.0,4190633691,56,Back,,,,,,,,,,2jskw42u7twkcsxa15hcysiy1,Pedro Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533697443,21,1,1,1,47,22mo7qbsnyi8wtucpvhgvhw2q,1,31.2,5.2,2023-04-15T14:33:36.468Z,2023-04-15T14:33:44Z,4190635229,213,0.1,4190635217,56,Right,4190635221,140,83.4,4190635227,212,54.9,4190635223,141,10.0,4190635213,155,,4190635233,1,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533697455,22,3,1,1,55,22mo7qbsnyi8wtucpvhgvhw2q,0,91.8,7.4,2023-04-15T14:33:44.470Z,2023-04-15T14:33:47Z,4190635645,233,21,4190635287,56,Right,4190635289,286,,,,,,,,,,,,,,,,,1jvpqpf5rak11gh8gilldpgtm,Alejandro Marqués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533697485,21,7,1,1,55,co1i764h6b02husae71w6scs8,1,8.2,92.6,2023-04-15T14:33:44.471Z,2023-04-15T14:33:46Z,4190635461,285,,4190635459,56,Back,4190635629,233,22,4190635457,167,,,,,,,,,,,,,,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533697553,22,43,1,1,57,co1i764h6b02husae71w6scs8,1,0,0,2023-04-15T14:33:45.741Z,2023-04-15T14:33:57Z,4190635811,73,0,4190635809,56,Back,4190637621,144,6,,,,,,,,,,,,,,,,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533697539,23,43,1,1,57,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-04-15T14:33:46.147Z,2023-04-15T14:33:55Z,4190637385,144,6,4190635735,56,Right,4190635831,233,22,4190635739,75,0,,,,,,,,,,,,,1jvpqpf5rak11gh8gilldpgtm,Alejandro Marqués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533697809,23,5,1,1,58,co1i764h6b02husae71w6scs8,0,5.2,101.5,2023-04-15T14:33:47.614Z,2023-04-15T14:34:01Z,4190637557,233,24,4190637285,56,Back,4190637287,347,,,,,,,,,,,,,,,,,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533697761,24,5,1,1,58,22mo7qbsnyi8wtucpvhgvhw2q,1,94.8,-1.5,2023-04-15T14:33:47.614Z,2023-04-15T14:33:58Z,4190637521,233,23,4190637025,347,,4190637019,56,Right,,,,,,,,,,,,,,,,1jvpqpf5rak11gh8gilldpgtm,Alejandro Marqués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533698199,25,1,1,2,13,22mo7qbsnyi8wtucpvhgvhw2q,1,91.8,0,2023-04-15T14:34:02.321Z,2023-04-15T14:34:08Z,4190639373,107,,4190639383,213,1.7,4190639379,141,46.3,4190639381,212,32.6,4190639375,56,Center,4190639385,1,,4190639377,140,88.5,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533698207,26,61,1,2,16,22mo7qbsnyi8wtucpvhgvhw2q,0,88.5,46.3,2023-04-15T14:34:05.028Z,2023-04-15T14:34:25Z,4190639431,56,Center,,,,,,,,,,,,,,,,,,,,,,1jvpqpf5rak11gh8gilldpgtm,Alejandro Marqués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533698255,24,4,1,2,19,co1i764h6b02husae71w6scs8,1,10.2,49.6,2023-04-15T14:34:07.773Z,2023-04-15T14:34:10Z,4190639683,56,Back,4190639847,233,27,4190639679,295,,4190639691,285,,4190639675,13,,4190639689,152,,,,,,,,6gmfcfqd1o54zyepd9587nlqt,F. Moufi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533698279,27,4,1,2,19,22mo7qbsnyi8wtucpvhgvhw2q,0,89.8,50.4,2023-04-15T14:34:07.774Z,2023-04-15T14:34:28Z,4190639793,13,,4190639907,233,24,4190639799,152,,4190639795,295,,4190639797,56,Center,4190639801,286,,,,,,,,1jvpqpf5rak11gh8gilldpgtm,Alejandro Marqués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699337,25,1,1,2,49,co1i764h6b02husae71w6scs8,0,16,46.1,2023-04-15T14:34:38.189Z,2023-04-15T14:34:43Z,4190645503,157,,4190645517,1,,4190645511,141,73.8,4190645515,213,0.4,4190645513,212,51.7,4190645507,56,Center,4190645501,5,,4190645505,152,,cpf5wp34pu80qzvcwakjhh905,K. Nakamura,4190645509,140,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699345,28,44,1,2,52,22mo7qbsnyi8wtucpvhgvhw2q,1,37.7,28.9,2023-04-15T14:34:40.750Z,2023-04-15T14:34:42Z,4190645555,56,Back,4190645561,285,,4190645855,233,26,,,,,,,,,,,,,,,,ctkp6xkdg68xonlfkjwe580oa,M. Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699355,26,44,1,2,52,co1i764h6b02husae71w6scs8,0,62.3,71.1,2023-04-15T14:34:40.751Z,2023-04-15T14:34:43Z,4190645599,56,Center,4190646001,233,28,4190645603,286,,,,,,,,,,,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699363,29,1,1,2,52,22mo7qbsnyi8wtucpvhgvhw2q,0,37.3,31.6,2023-04-15T14:34:40.910Z,2023-04-15T14:34:43Z,4190645653,212,4.1,4190645651,141,32.1,4190645647,56,Back,4190645655,213,0.1,4190645649,140,41.2,4190645645,3,,,,,,,,ctkp6xkdg68xonlfkjwe580oa,M. Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699381,27,61,1,2,53,co1i764h6b02husae71w6scs8,1,61.9,73.8,2023-04-15T14:34:41.709Z,2023-04-15T14:34:42Z,4190645741,56,Center,,,,,,,,,,,,,,,,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699467,28,1,1,2,54,co1i764h6b02husae71w6scs8,1,66.3,75.9,2023-04-15T14:34:43.340Z,2023-04-15T14:34:44Z,4190646223,213,2.1,4190646219,141,94.7,4190646215,56,Left,4190646217,140,59.9,4190646221,212,14.4,,,,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699533,29,1,1,2,55,co1i764h6b02husae71w6scs8,1,59.9,95,2023-04-15T14:34:44.332Z,2023-04-15T14:34:46Z,4190646531,212,10.9,4190646525,56,Left,4190646529,141,92.6,4190646527,140,70.2,4190646533,213,6.1,,,,,,,,,,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699553,30,61,1,2,56,co1i764h6b02husae71w6scs8,0,70.2,92.6,2023-04-15T14:34:45.172Z,2023-04-15T14:37:46Z,4190646631,56,Left,,,,,,,,,,,,,,,,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699513,30,49,1,2,56,22mo7qbsnyi8wtucpvhgvhw2q,1,23.2,7.9,2023-04-15T14:34:45.556Z,2023-04-15T14:34:45Z,,,,,,,,,,,,,,,,,,,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533699567,31,50,1,2,57,22mo7qbsnyi8wtucpvhgvhw2q,1,25.2,5.4,2023-04-15T14:34:46.509Z,2023-04-15T14:34:49Z,4190646697,56,Back,4190646699,285,,4190646999,233,31,,,,,,,,,,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
